customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000617,258,3,182.34000000000003,3,4,4,11,Loyal Customers
CUST000618,27,1,304.52,5,1,5,11,Loyal Customers
CUST000619,321,2,107.41,2,3,2,7,Potential Loyalists
CUST000620,515,2,133.38,1,3,3,7,Potential Loyalists
CUST000622,197,2,114.97,3,3,3,9,Potential Loyalists
CUST000623,379,2,133.44,2,3,3,8,Potential Loyalists
CUST000624,185,1,82.74000000000001,3,1,2,6,At Risk
CUST000626,140,1,64.22999999999999,4,1,1,6,At Risk
CUST000627,266,1,63.78999999999999,3,1,1,5,At Risk
CUST000628,7,1,23.87,5,1,1,7,Potential Loyalists
CUST000630,65,2,177.67,5,3,4,12,Loyal Customers
CUST000631,69,1,66.77,5,1,1,7,Potential Loyalists
CUST000633,62,3,203.73999999999998,5,4,4,13,Champions
CUST000634,637,1,100.38,1,1,2,4,Lost Customers
CUST000635,437,1,221.65,2,1,4,7,Potential Loyalists
CUST000636,22,3,353.44,5,4,5,14,Champions
CUST000637,362,3,337.03,2,4,5,11,Loyal Customers
CUST000638,114,2,151.04,4,3,3,10,Loyal Customers
CUST000639,626,1,55.19,1,1,1,3,Lost Customers
CUST000640,201,1,88.97,3,1,2,6,At Risk
